地名,センター,燃やすごみ,燃やさないごみ,衣服・布,雑古紙,雑誌,びん・缶,その他プラ容器包装,ペットボトル,ごみ収集がない日
仁神堂町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
西鹿沼町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
西沢町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
西茂呂1丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
西茂呂2丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
西茂呂3丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
西茂呂4丁目	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
日光奈良部町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
楡木町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
野沢町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
野尻	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
花岡町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
東末広町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
引田	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
日吉町	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
深岩	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
深津	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
深程	,鹿沼市環境クリーンセンター,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
藤江町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
府中町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
府所町	,鹿沼市環境クリーンセンター,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火,20180321 20180430 20180503 20180504 20180505 20180811 20180923 20181103 20181123 20181223
