地名,センター,ごみ収集がない日,燃やすごみ,燃やさないごみ,衣服・布,雑古紙,雑誌,びん・缶,その他プラ容器包装,ペットボトル
坂田山3丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
坂田山4丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
酒野谷,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
笹原田,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
さつき町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
佐目町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
三幸町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
塩山町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下石川,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
下大久保,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下粕尾,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下久我,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下材木町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下沢,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下武子町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
下田町1丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下田町2丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下遠部,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下永野,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下奈良部町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
下南摩町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下日向,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
下横町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
白桑田,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
末広町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
千手町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
千渡,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
武子,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
玉田町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
寺町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
天神町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
栃窪,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
戸張町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
富岡,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
鳥居跡町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
中粟野,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
中粕尾,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
中田町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
仲町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
奈佐原町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
仁神堂町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
西鹿沼町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
西沢町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
西茂呂1丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
西茂呂2丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
西茂呂3丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
西茂呂4丁目,鹿沼市環境クリーンセンター,20190211 20190321 20190429,月 木,水1 水3,水2 水4,水2 水4,水2 水4,金,水,火
日光奈良部町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
楡木町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
野沢町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
野尻,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
花岡町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
東末広町,鹿沼市環境クリーンセンター,20190211 20190321 20190429,火 金,水2 水4,水1 水3,水1 水3,水1 水3,木,水,月
